region,rainfall_mm,temperature_c,soil_index,market_distance_km,irrigated,farm_size_ha,high_risk
East,417.5,27.7,0.747,50.9,0,1.4,1
East,860.6,26.25,0.75,25.0,0,4.67,0
South,615.0,26.13,0.753,29.6,0,9.1,1
East,445.7,31.82,0.606,19.9,0,2.67,1
East,518.4,25.62,0.516,14.4,1,7.2,1
Central,499.8,26.17,0.406,21.2,0,1.5,1
Central,428.8,23.06,0.809,2.7,0,2.67,0
South,634.2,25.38,0.567,72.2,0,1.79,0
South,435.8,22.72,0.641,10.7,0,6.66,0
Central,292.9,29.27,0.747,32.9,0,7.9,1
North,563.0,35.34,0.76,4.5,1,2.55,0
South,349.6,26.47,0.835,49.7,1,5.82,0
Central,507.2,22.83,0.632,60.0,1,7.95,0
East,483.6,30.02,0.601,35.0,0,2.66,0
Central,489.3,25.46,0.737,31.5,0,2.96,1
North,920.1,31.14,0.521,19.8,1,4.38,0
East,628.5,26.71,0.819,71.0,1,1.57,1
North,656.8,25.73,0.668,8.7,0,2.92,0
North,353.5,27.0,0.571,23.8,1,10.94,1
South,521.9,29.62,0.581,18.0,0,1.96,0
East,652.3,26.86,0.842,17.5,0,4.74,0
North,466.3,26.11,0.5,69.8,1,3.82,0
Central,756.2,26.94,0.264,30.1,1,2.44,0
South,439.6,23.94,0.667,19.7,1,3.14,0
East,577.0,28.61,0.707,41.7,0,8.49,1
Central,532.1,22.5,0.741,39.3,0,3.9,0
North,644.6,26.26,0.468,59.3,1,4.31,0
North,523.9,29.63,0.383,44.9,1,7.69,0
North,579.4,28.35,0.582,31.1,0,2.25,0
North,584.6,29.15,0.242,32.7,0,1.38,1
South,509.8,27.32,0.452,43.5,0,8.58,1
North,692.8,30.78,0.876,15.8,0,2.97,0
Central,655.8,30.09,0.807,38.8,1,4.86,1
South,606.7,28.75,0.864,87.8,0,1.66,0
South,555.4,30.1,0.797,35.1,0,3.5,1
North,739.5,29.6,0.456,25.5,0,1.33,1
South,584.6,26.27,0.859,25.2,0,2.83,1
South,574.0,23.74,0.675,42.3,0,1.78,0
South,635.7,28.68,0.539,37.3,0,1.54,1
North,874.5,29.03,0.812,51.3,1,2.23,0
North,418.9,30.55,0.695,20.7,0,0.61,1
East,735.5,24.88,0.602,28.9,0,1.28,0
Central,336.0,24.96,0.703,57.1,0,4.52,0
Central,652.6,28.79,0.836,60.1,0,3.41,1
Central,856.3,27.3,0.85,60.4,0,1.35,0
South,693.3,22.22,0.905,53.2,1,3.88,0
East,645.6,28.55,0.861,54.4,0,1.54,1
Central,535.9,22.31,0.752,38.7,0,4.35,0
East,624.7,24.85,0.756,10.4,0,2.52,0
North,582.2,31.28,0.677,11.3,0,2.2,0
South,502.1,32.61,0.623,34.6,0,2.56,0
South,576.5,24.1,0.616,35.7,0,14.35,0
North,649.8,26.58,0.76,17.2,0,1.66,1
North,504.9,27.62,0.618,18.1,0,3.15,0
Central,499.1,32.49,0.651,31.0,1,4.52,1
East,416.0,26.12,0.526,120.2,0,1.45,0
South,678.6,26.16,0.783,14.7,1,0.96,0
East,701.8,31.84,0.869,24.5,0,1.84,0
South,654.7,26.45,0.349,59.3,0,4.45,0
Central,764.8,29.52,0.846,52.4,0,2.18,1
South,633.2,23.36,0.956,40.8,0,2.34,0
North,678.8,27.02,0.726,6.5,1,4.91,0
North,665.6,22.85,0.427,27.7,1,1.61,0
East,606.3,24.54,0.828,100.1,1,2.57,0
South,540.4,29.85,0.473,17.6,0,1.02,0
North,952.1,27.36,0.736,17.1,1,3.35,0
Central,552.2,26.61,0.581,85.3,0,3.16,0
South,520.1,25.4,0.907,30.9,1,4.56,0
East,685.1,26.88,0.534,7.0,0,1.29,0
South,657.8,28.34,0.553,13.2,1,2.4,0
Central,409.3,30.25,0.49,21.1,1,1.18,1
Central,788.4,20.15,0.695,39.5,0,2.32,0
Central,605.9,25.17,0.668,28.5,1,7.12,0
South,453.4,27.95,0.6,16.4,1,2.21,0
East,798.3,27.22,0.719,28.8,1,1.12,0
Central,713.9,28.63,0.818,17.6,0,1.75,1
Central,430.3,28.25,0.555,103.8,0,0.95,0
North,886.6,26.65,0.678,12.6,1,1.17,0
South,718.8,26.02,0.763,23.3,0,4.2,0
South,618.5,26.81,0.796,20.8,1,1.06,0
North,858.5,30.72,0.96,21.1,0,3.33,0
North,643.9,25.45,0.913,13.8,0,2.76,0
South,615.8,27.32,0.728,81.1,1,1.92,0
North,521.0,28.01,0.384,126.1,0,3.15,1
East,707.3,31.87,0.827,42.9,1,1.48,0
Central,691.5,26.66,0.802,40.3,1,4.7,0
North,622.2,30.18,0.45,8.4,0,1.73,0
East,501.5,30.95,0.859,79.8,0,2.11,0
North,639.5,27.32,0.558,17.6,0,1.96,0
Central,609.5,26.91,0.692,7.5,0,4.26,0
North,420.0,26.58,0.603,48.3,1,3.87,1
North,399.2,26.78,0.607,66.4,0,0.49,1
North,704.8,29.89,0.583,79.3,0,3.21,1
North,229.7,28.15,0.676,23.5,0,0.87,0
North,650.8,28.16,0.794,21.5,0,2.18,0
North,548.3,24.35,0.871,38.1,1,2.53,1
South,816.2,24.79,0.808,28.5,0,2.16,0
South,546.0,33.5,0.663,48.9,0,3.76,1
Central,718.9,27.0,0.431,38.4,0,4.34,0
Central,560.5,25.33,0.641,16.4,0,1.64,0
Central,637.1,31.51,0.397,81.0,0,1.61,1
East,730.5,28.29,0.734,49.1,1,2.66,0
East,550.6,29.12,0.436,65.4,0,1.0,1
North,769.5,27.11,0.66,16.7,0,1.99,0
North,470.9,26.61,0.533,48.2,0,6.53,0
North,664.2,27.03,0.805,57.4,1,1.02,1
Central,758.4,23.63,0.906,37.3,0,2.18,0
South,719.0,27.25,0.707,13.7,0,1.85,0
Central,907.5,28.33,0.544,34.9,1,10.01,0
North,505.5,32.68,0.865,53.8,0,1.92,1
Central,413.1,27.74,0.737,68.4,1,1.99,0
Central,470.8,20.96,0.531,9.1,1,1.39,0
North,719.1,27.24,0.649,36.8,1,2.73,1
East,694.7,35.17,0.567,11.1,0,3.24,1
North,635.3,29.93,0.758,54.3,0,1.53,1
East,451.6,25.23,0.594,63.9,1,5.17,1
North,735.0,29.16,0.463,15.4,0,3.24,1
East,436.3,25.42,0.73,13.1,0,4.73,0
East,793.8,23.71,0.901,20.7,0,2.2,0
East,1048.6,26.52,0.815,29.3,0,3.18,0
South,675.0,27.76,0.683,18.6,0,2.37,0
South,707.5,22.26,0.77,57.5,1,7.01,0
South,546.1,24.28,0.814,68.6,1,2.93,1
South,348.5,27.53,0.61,35.7,0,2.73,0
North,529.6,26.36,0.644,19.1,1,2.02,0
Central,456.1,28.61,0.767,28.5,1,1.94,0
Central,402.9,24.1,0.865,35.7,0,3.17,0
East,878.4,29.5,0.936,27.6,1,4.63,0
Central,660.9,24.19,0.359,31.1,0,1.74,0
Central,677.0,32.1,0.53,65.1,0,2.95,1
South,573.6,22.7,0.537,18.1,0,3.06,0
Central,594.1,24.44,0.844,109.3,0,3.43,0
North,764.7,28.67,0.827,36.5,0,0.9,0
Central,615.1,32.16,0.681,26.5,0,1.49,1
Central,699.6,28.38,0.779,17.8,0,1.12,0
North,590.6,29.08,0.759,19.0,0,2.78,0
Central,568.7,27.55,0.817,33.4,0,1.51,1
Central,409.0,24.63,0.806,36.3,1,1.97,1
Central,323.3,26.13,0.887,25.8,1,1.25,0
Central,580.8,24.11,0.816,11.0,0,2.09,0
South,628.5,23.92,0.792,33.4,1,1.31,0
Central,427.1,28.62,0.748,19.3,0,4.45,0
East,614.8,24.36,0.68,7.0,0,3.71,0
East,628.1,28.39,0.726,50.2,0,3.0,0
Central,296.6,23.85,0.77,8.1,0,2.23,1
Central,482.7,28.33,0.872,25.0,0,0.72,1
Central,681.1,26.13,0.791,30.5,1,2.02,0
East,678.1,31.44,0.517,74.6,1,1.66,0
South,446.9,28.41,0.376,7.4,1,3.19,1
South,643.8,30.96,0.657,53.9,1,4.07,0
Central,773.4,25.38,0.857,59.5,0,3.36,0
South,736.6,27.66,0.857,89.3,0,6.18,0
Central,605.7,24.75,0.655,67.0,0,1.88,0
South,549.8,26.34,0.544,31.3,0,1.83,0
North,525.6,26.77,0.552,55.5,1,5.34,0
South,690.2,25.47,0.859,77.0,0,3.03,0
East,649.3,24.1,0.679,5.6,0,2.32,0
North,714.4,23.54,0.785,10.9,0,9.03,0
South,639.8,20.95,0.714,38.9,1,3.96,0
North,742.8,24.54,0.489,59.1,0,2.4,0
South,634.2,29.26,0.771,49.0,1,1.74,0
North,737.7,23.02,0.641,41.4,0,6.44,0
East,750.6,23.67,0.195,88.5,0,3.11,0
North,499.3,32.51,0.532,25.8,0,2.76,1
East,348.8,25.72,0.539,18.7,1,4.22,0
South,851.5,28.4,0.818,22.2,1,4.82,0
South,658.5,29.3,0.487,39.5,0,3.89,0
South,362.8,29.36,0.854,30.4,0,4.83,0
South,512.9,23.24,0.493,61.3,0,3.65,1
East,735.8,26.85,0.654,19.5,0,3.9,0
Central,578.0,22.97,0.861,43.1,0,1.69,0
South,543.2,34.35,0.756,55.6,0,8.82,1
North,830.1,23.03,0.724,76.9,1,1.22,0
South,462.9,24.57,0.714,12.7,1,3.32,0
North,500.3,24.59,0.624,21.9,1,1.14,0
South,651.7,23.31,0.736,28.8,1,2.55,0
South,678.6,31.29,0.684,9.7,1,1.88,0
Central,694.5,34.28,0.327,41.1,1,2.97,0
Central,756.7,26.17,0.602,40.7,0,3.39,0
South,649.8,23.8,0.751,38.3,0,1.46,1
South,693.4,21.24,0.709,27.6,0,2.67,0
Central,581.1,26.82,0.751,71.6,1,6.73,0
South,629.4,26.61,0.557,22.3,0,1.16,1
East,636.1,25.68,0.561,67.3,0,1.56,1
North,652.3,28.12,0.682,21.9,0,4.76,0
North,735.9,28.61,0.717,12.4,0,2.86,0
North,703.3,28.4,0.797,31.5,0,3.0,0
South,626.6,26.61,0.723,35.8,1,5.28,0
Central,498.6,24.42,0.834,43.5,0,1.62,1
South,630.2,29.36,0.462,4.0,1,1.94,0
South,615.8,27.54,0.506,25.4,0,1.79,0
Central,649.0,29.99,0.675,104.3,1,2.17,0
East,951.0,29.71,0.575,20.7,0,6.49,0
South,541.4,23.52,0.805,59.6,0,0.9,0
Central,683.3,23.48,0.45,171.5,1,1.25,0
Central,780.3,25.38,0.655,116.5,1,1.12,0
Central,634.7,24.54,0.812,14.1,1,6.76,0
North,970.7,29.61,0.856,56.4,1,1.82,0
North,563.3,28.48,0.85,58.7,0,2.2,0
East,668.6,30.58,0.5,50.5,0,0.95,0
Central,500.2,28.61,0.628,12.2,0,2.29,0
Central,567.3,28.08,0.545,38.1,1,4.77,0
South,657.3,30.86,0.606,37.9,1,3.2,0
South,746.9,28.82,0.726,10.7,1,2.53,0
East,667.9,27.69,0.858,26.5,1,0.98,0
South,808.9,31.65,0.828,39.3,0,2.2,0
Central,605.8,27.82,0.879,30.8,0,2.99,0
Central,570.2,26.65,0.82,53.0,0,1.43,0
East,1025.6,25.15,0.69,26.0,0,4.16,0
South,679.1,29.47,0.776,35.4,1,4.83,0
East,512.1,30.96,0.59,62.2,0,1.93,1
North,515.9,27.36,0.941,96.5,1,4.36,0
East,478.6,31.16,0.717,12.0,1,2.53,1
South,760.5,21.98,0.833,51.7,0,5.73,0
North,565.3,27.34,0.887,22.9,1,10.2,0
South,639.1,27.39,0.847,43.9,0,1.34,1
South,610.5,25.46,0.475,11.2,1,4.48,0
North,729.7,34.17,0.631,72.5,0,6.35,0
Central,493.0,27.31,0.688,17.6,0,1.45,0
East,458.7,26.36,0.409,62.9,0,1.87,0
Central,653.6,27.57,0.584,12.5,0,1.86,1
Central,710.1,21.89,0.804,9.2,1,2.49,0
Central,669.9,25.37,0.773,28.1,1,2.16,0
Central,498.6,30.25,0.35,38.4,1,2.39,1
East,721.6,25.74,0.626,123.2,0,4.69,0
South,508.4,25.18,0.843,37.7,1,0.79,0
North,541.8,31.17,0.426,14.1,0,1.44,1
East,478.4,31.25,0.653,56.3,0,4.2,1
East,815.2,28.95,0.823,80.4,1,3.89,1
Central,715.0,26.23,0.67,16.9,1,1.37,0
East,710.7,26.83,0.673,61.4,1,3.91,0
North,807.1,25.25,0.799,74.0,1,6.44,0
East,1041.9,24.71,0.905,57.2,0,2.63,0
South,363.6,24.58,0.74,19.9,0,1.41,0
South,509.2,25.77,0.519,38.7,0,4.8,0
North,527.6,24.6,0.56,43.9,0,8.33,0
East,492.4,23.12,0.474,71.2,0,1.53,1
North,458.4,28.11,0.56,20.9,0,2.79,0
Central,575.1,28.16,0.873,62.4,0,5.52,0
North,437.5,32.26,0.791,30.0,0,2.93,1
South,670.3,25.63,0.49,25.4,1,0.87,0
North,627.8,28.33,0.845,34.5,0,3.63,0
East,692.2,28.38,0.824,3.2,0,1.44,0
South,696.2,26.79,0.519,4.6,1,1.19,0
North,710.5,29.58,0.586,6.2,1,0.88,0
North,564.0,29.67,0.536,45.2,0,5.89,1
North,938.2,28.42,0.972,27.6,0,1.58,1
South,655.2,26.78,0.611,19.9,1,3.38,0
South,340.6,26.5,0.648,32.3,1,3.96,1
North,469.6,23.67,0.67,63.4,0,3.02,0
East,358.9,25.24,0.771,31.3,0,3.3,0
North,622.6,25.76,0.388,13.8,0,3.48,0
South,601.7,24.35,0.561,135.8,0,2.97,1
East,549.7,28.73,0.783,33.5,0,1.66,0
South,921.6,30.85,0.615,74.4,1,1.57,0
South,702.3,24.96,0.551,57.6,0,2.54,0
East,728.9,28.29,0.804,24.1,0,2.5,0
North,480.3,24.6,0.904,95.6,1,3.59,0
North,470.1,26.65,0.801,21.2,0,5.56,0
North,625.5,25.57,0.636,44.7,0,3.4,1
Central,646.0,29.19,0.755,40.7,0,1.6,1
South,341.6,25.6,0.856,43.4,0,0.66,0
South,593.0,30.33,0.455,85.5,0,1.65,1
East,622.1,26.81,0.644,34.2,1,1.13,0
North,587.7,25.68,0.687,38.9,0,1.69,0
South,498.0,23.99,0.771,40.3,1,3.18,0
North,539.1,28.21,0.912,119.9,0,2.87,0
Central,593.5,30.01,0.601,70.8,1,9.1,0
South,633.6,28.27,0.831,8.8,0,3.72,0
East,710.7,33.77,0.679,21.9,1,9.4,0
South,782.1,31.5,0.729,35.9,0,4.33,0
North,575.8,26.64,0.734,84.3,0,5.51,1
South,551.6,26.61,0.471,89.6,0,2.15,1
North,685.6,28.82,0.602,32.7,0,1.35,0
East,711.6,25.15,0.434,21.3,1,2.03,0
South,554.9,30.77,0.76,29.5,0,2.7,1
North,738.6,28.51,0.821,36.8,0,1.81,0
North,766.9,28.22,0.64,28.0,1,1.42,0
North,813.8,29.42,0.619,75.6,0,3.56,0
East,886.7,32.32,0.835,26.0,0,1.41,0
Central,490.0,27.98,0.737,17.0,1,1.0,0
South,622.1,27.18,0.822,29.0,1,1.31,0
South,621.7,31.72,0.662,42.1,0,2.33,0
South,605.3,30.21,0.823,76.5,0,1.43,1
North,522.6,26.6,0.756,16.0,0,2.34,1
East,397.2,27.51,0.616,42.3,0,4.02,0
Central,633.9,28.05,0.549,43.2,1,3.95,1
South,504.7,28.51,0.712,48.9,1,1.77,0
South,632.9,23.7,0.647,26.0,0,1.16,0
South,500.9,23.18,0.603,48.3,0,1.87,0
East,455.1,25.02,0.867,56.6,1,4.16,0
North,655.1,24.8,0.788,25.8,0,4.85,1
Central,642.6,25.7,0.813,38.9,1,3.42,0
Central,706.9,29.28,0.245,30.3,0,5.94,0
Central,947.9,27.03,0.805,18.9,0,8.36,0
North,661.6,28.05,0.648,11.4,1,1.99,1
North,692.8,24.07,0.776,21.2,1,7.14,0
Central,458.4,26.21,0.352,22.4,0,2.29,1
Central,427.0,29.14,0.562,11.3,1,5.27,0
Central,857.4,29.17,0.679,46.2,0,4.31,0
South,481.5,25.47,0.686,59.3,0,0.75,0
South,463.4,27.95,0.661,29.7,0,1.45,0
Central,614.1,33.66,0.846,33.0,0,1.23,1
Central,606.5,27.45,0.603,23.6,1,0.85,0
North,484.6,25.56,0.686,31.7,0,4.81,0
South,574.3,27.01,0.505,48.5,0,10.43,0
Central,804.4,27.76,0.754,42.4,0,2.3,0
North,499.1,27.08,0.791,31.5,1,4.74,0
Central,410.9,27.41,0.748,22.4,1,7.13,0
Central,761.4,23.46,0.748,56.0,0,3.11,0
North,693.8,24.8,0.803,24.2,0,2.67,0
South,526.9,27.08,0.714,12.1,1,2.32,0
South,382.7,27.04,0.842,37.3,0,3.86,1
South,508.3,25.91,0.568,7.3,1,4.8,0
South,611.8,27.0,0.441,41.2,0,3.67,0
South,794.9,27.67,0.654,43.3,1,3.59,0
Central,464.5,29.99,0.912,21.0,0,2.63,0
South,607.3,27.22,0.43,23.4,0,0.97,1
South,721.3,28.62,0.941,61.4,0,4.87,0
Central,262.8,25.98,0.539,112.7,0,1.18,0
South,775.1,29.1,0.666,34.3,0,4.07,1
Central,442.6,28.55,0.619,21.4,1,4.44,0
Central,669.8,29.92,0.81,43.5,0,1.3,0
South,657.0,29.5,0.788,30.6,0,1.83,0
East,782.7,29.15,0.636,41.6,0,10.79,1
East,702.6,27.22,0.865,37.4,0,2.58,0
Central,263.4,28.19,0.914,38.0,0,1.23,1
Central,502.3,30.48,0.792,5.1,0,4.57,1
South,640.7,25.67,0.664,23.4,1,1.65,0
Central,590.8,25.74,0.724,21.7,1,0.78,0
East,691.6,28.01,0.61,21.5,0,3.81,0
Central,738.4,28.66,0.541,51.0,1,1.5,0
North,711.3,25.19,0.448,13.1,0,3.35,0
North,587.9,27.29,0.62,5.2,0,1.6,0
East,343.0,27.24,0.571,21.1,1,4.3,0
North,551.7,21.3,0.821,17.9,1,3.06,0
Central,682.5,26.89,0.825,34.5,0,0.51,0
Central,456.4,27.06,0.636,17.8,0,3.48,1
North,714.7,27.05,0.546,27.5,0,2.25,0
Central,756.3,31.46,0.597,24.7,0,6.83,0
South,639.0,24.1,0.975,74.0,1,3.51,0
North,180.0,25.19,0.513,18.1,0,4.44,1
East,428.3,20.19,0.829,49.0,1,1.71,0
East,902.9,26.15,0.616,31.4,1,1.63,0
Central,538.0,26.39,0.858,62.3,0,2.67,0
North,322.4,26.07,0.4,88.7,1,2.15,1
South,805.3,30.6,0.625,31.0,1,6.49,0
North,622.0,29.91,0.802,7.5,0,2.46,1
Central,785.7,27.72,0.535,13.1,0,1.23,0
East,661.5,26.46,0.672,10.6,1,1.59,0
East,688.8,30.37,0.405,23.5,1,5.09,0
South,674.5,27.44,0.386,20.8,0,2.44,1
